taxonomy_id	common_name	scientific_name	release_folder_name
9986	rabbit	Oryctolagus cuniculus	oryctolagus_cuniculus
10090	house mouse	Mus musculus	mus_musculus
10096	western wild mouse	Mus spretus	mus_spretus
10116	Norway rat	Rattus norvegicus	rattus_norvegicus
10141	domestic guinea pig	Cavia porcellus	cavia_porcellus
13616	gray short-tailed opossum	Monodelphis domestica	monodelphis_domestica
27828	Cooperia oncophora	Cooperia oncophora	cooperia_oncophora
28025	Bifidobacterium animalis	Bifidobacterium animalis	bifidobacterium_animalis
28026	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	bifidobacterium_pseudocatenulatum
28037	Streptococcus mitis	Streptococcus mitis	streptococcus_mitis
28111	Bacteroides eggerthii	Bacteroides eggerthii	bacteroides_eggerthii
28116	Bacteroides ovatus	Bacteroides ovatus	bacteroides_ovatus
28117	Alistipes putredinis	Alistipes putredinis	alistipes_putredinis
28901	Salmonella enterica	Salmonella enterica	salmonella_enterica
29073	polar bear	Ursus maritimus	ursus_maritimus
29348	Clostridium spiroforme	Clostridium spiroforme	clostridium_spiroforme
29361	Tyzzerella nexilis	Tyzzerella nexilis	tyzzerella_nexilis
29466	Veillonella parvula	Veillonella parvula	veillonella_parvula
29760	wine grape	Vitis vinifera	vitis_vinifera
30522	hybrid cattle	Bos indicus x Bos taurus	bos_indicus_x_bos_taurus
30538	alpaca	Vicugna pacos	vicugna_pacos
31971	Absiella dolichum	Absiella dolichum	absiella_dolichum
33038	Ruminococcus gnavus	Ruminococcus gnavus	ruminococcus_gnavus
33039	Ruminococcus torques	Ruminococcus torques	ruminococcus_torques
33043	Coprococcus eutactus	Coprococcus eutactus	coprococcus_eutactus
34274	Gossypium herbaceum	Gossypium herbaceum	gossypium_herbaceum
36855	Brucella canis	Brucella canis	brucella_canis
39483	Faecalitalea cylindroides	Faecalitalea cylindroides	faecalitalea_cylindroides
39485	Lachnospira eligens	Eubacterium eligens	eubacterium_eligens
39486	Dorea formicigenerans	Dorea formicigenerans	dorea_formicigenerans
39488	Anaerobutyricum hallii	Eubacterium hallii	eubacterium_hallii
39491	Eubacterium rectale	Eubacterium rectale	eubacterium_rectale
39492	Eubacterium siraeum	Eubacterium siraeum	eubacterium_siraeum
